source,target,assigned_topic
214,427,1
214,428,1
214,429,1
214,430,1
214,431,1
214,432,1
214,433,1
214,434,1
214,435,1
214,436,1
215,437,2
215,438,2
215,439,2
215,440,2
215,441,2
215,442,2
215,443,2
215,444,2
215,445,2
215,446,2
215,447,2
215,448,2
215,449,2
216,450,2
216,451,2
216,452,2
216,453,2
216,454,2
217,455,-1
217,456,-1
217,457,-1
217,458,-1
217,459,-1
217,460,-1
217,461,-1
217,462,-1
217,463,-1
217,464,-1
217,465,-1
217,466,-1
217,467,-1
217,468,-1
217,469,-1
217,470,-1
217,471,-1
217,472,-1
217,473,-1
217,474,-1
217,475,-1
217,476,-1
217,477,-1
217,478,-1
217,479,-1
217,480,-1
217,481,-1
217,482,-1
217,483,-1
217,484,-1
217,485,-1
217,486,-1
217,487,-1
217,488,-1
217,489,-1
217,490,-1
217,491,-1
217,492,-1
217,493,-1
217,494,-1
217,495,-1
217,496,-1
217,497,-1
218,498,0
218,499,0
218,500,0
218,501,0
218,502,0
218,503,0
218,504,0
218,505,0
218,506,0
218,507,0
218,508,0
218,509,0
218,510,0
218,511,0
218,512,0
218,513,0
218,514,0
218,451,0
218,515,0
218,516,0
218,517,0
218,518,0
218,519,0
218,520,0
218,521,0
218,522,0
218,523,0
218,524,0
218,525,0
218,526,0
218,527,0
218,528,0
218,529,0
218,530,0
218,531,0
218,532,0
218,533,0
218,534,0
218,535,0
218,536,0
218,537,0
218,538,0
218,539,0
218,540,0
218,264,0
218,541,0
218,542,0
218,543,0
218,544,0
218,545,0
218,546,0
218,547,0
218,548,0
218,549,0
218,550,0
218,551,0
218,552,0
218,553,0
218,554,0
218,555,0
218,556,0
218,557,0
218,558,0
218,559,0
218,560,0
218,561,0
218,562,0
219,563,4
219,564,4
219,565,4
219,566,4
219,567,4
219,568,4
219,569,4
219,570,4
219,571,4
219,572,4
219,573,4
219,574,4
219,575,4
219,576,4
219,577,4
219,578,4
219,579,4
219,580,4
219,581,4
219,582,4
219,583,4
219,584,4
219,585,4
219,586,4
219,587,4
219,588,4
219,589,4
219,590,4
219,591,4
219,592,4
219,593,4
219,594,4
219,278,4
219,595,4
219,596,4
219,597,4
219,598,4
219,599,4
219,600,4
219,601,4
219,602,4
219,603,4
219,604,4
219,605,4
219,606,4
219,607,4
219,608,4
219,609,4
219,610,4
219,611,4
219,612,4
219,613,4
219,614,4
219,615,4
219,616,4
219,617,4
219,618,4
219,619,4
219,620,4
219,621,4
219,622,4
219,623,4
219,624,4
219,625,4
219,626,4
219,627,4
219,628,4
219,629,4
220,630,0
220,631,0
220,632,0
220,633,0
220,634,0
220,635,0
220,636,0
220,637,0
221,638,-1
221,639,-1
221,640,-1
221,641,-1
221,642,-1
221,643,-1
221,644,-1
221,645,-1
221,646,-1
221,647,-1
221,648,-1
221,649,-1
221,650,-1
221,651,-1
221,652,-1
221,653,-1
221,654,-1
221,655,-1
221,656,-1
221,429,-1
222,657,0
222,658,0
222,659,0
222,660,0
222,661,0
222,662,0
222,663,0
222,664,0
223,665,0
223,666,0
223,667,0
223,668,0
223,669,0
223,670,0
223,671,0
223,672,0
223,673,0
223,674,0
223,675,0
223,676,0
223,677,0
223,678,0
223,679,0
223,680,0
223,681,0
223,682,0
223,683,0
223,684,0
224,685,0
224,686,0
224,687,0
224,561,0
224,688,0
224,689,0
224,690,0
224,691,0
224,692,0
224,693,0
224,694,0
224,695,0
224,696,0
224,697,0
224,698,0
224,699,0
224,700,0
224,701,0
224,702,0
224,703,0
224,704,0
224,705,0
224,706,0
224,707,0
224,708,0
224,709,0
224,710,0
224,711,0
224,712,0
224,713,0
224,714,0
224,715,0
224,716,0
224,717,0
224,718,0
224,719,0
224,720,0
224,721,0
224,722,0
224,723,0
224,724,0
224,725,0
224,726,0
224,727,0
224,728,0
224,729,0
224,730,0
224,731,0
224,732,0
224,733,0
224,734,0
224,735,0
224,736,0
224,737,0
224,738,0
224,739,0
224,740,0
224,741,0
224,742,0
224,743,0
225,744,8
225,745,8
225,746,8
225,747,8
225,748,8
225,749,8
225,750,8
225,751,8
225,247,8
225,752,8
225,753,8
225,754,8
225,755,8
225,756,8
225,757,8
225,758,8
225,759,8
225,760,8
225,761,8
225,762,8
225,763,8
225,764,8
225,765,8
225,766,8
225,767,8
225,768,8
225,769,8
225,770,8
225,771,8
225,772,8
225,773,8
225,774,8
225,775,8
225,776,8
225,777,8
225,778,8
225,779,8
225,780,8
225,781,8
225,782,8
225,783,8
225,784,8
225,785,8
225,786,8
225,787,8
225,788,8
225,789,8
225,790,8
225,791,8
225,792,8
225,793,8
225,794,8
225,795,8
225,796,8
225,639,8
225,797,8
225,798,8
225,799,8
225,800,8
225,801,8
225,802,8
225,803,8
225,804,8
225,805,8
225,806,8
225,807,8
225,808,8
225,809,8
225,810,8
225,811,8
225,812,8
225,602,8
225,813,8
225,814,8
225,815,8
225,816,8
225,817,8
225,818,8
225,819,8
225,646,8
225,820,8
225,821,8
225,822,8
225,823,8
225,824,8
225,825,8
225,826,8
225,827,8
225,828,8
225,829,8
225,830,8
225,831,8
225,643,8
225,832,8
225,604,8
225,833,8
225,834,8
225,835,8
225,836,8
225,837,8
225,838,8
225,839,8
226,840,2
226,841,2
226,451,2
226,842,2
226,843,2
226,844,2
226,845,2
226,846,2
226,847,2
226,848,2
226,849,2
226,850,2
226,851,2
226,743,2
226,852,2
226,853,2
226,854,2
226,855,2
226,856,2
226,857,2
226,858,2
226,859,2
226,860,2
226,861,2
226,862,2
226,553,2
226,863,2
226,864,2
226,865,2
226,263,2
227,866,1
227,867,1
227,868,1
227,869,1
227,870,1
227,871,1
227,872,1
227,873,1
227,874,1
228,875,0
228,545,0
228,876,0
228,877,0
228,878,0
228,879,0
228,880,0
228,881,0
228,285,0
228,882,0
228,883,0
228,884,0
228,885,0
228,886,0
228,887,0
228,888,0
228,889,0
228,890,0
228,891,0
228,892,0
228,893,0
228,894,0
228,895,0
228,896,0
228,897,0
228,898,0
228,899,0
228,900,0
228,901,0
228,902,0
228,903,0
228,904,0
228,905,0
228,906,0
228,907,0
228,908,0
228,909,0
228,910,0
228,911,0
228,912,0
228,913,0
228,914,0
228,915,0
228,916,0
228,917,0
228,918,0
228,919,0
228,920,0
228,921,0
228,922,0
228,923,0
229,924,-1
229,925,-1
229,926,-1
229,927,-1
229,928,-1
229,929,-1
229,930,-1
229,931,-1
229,932,-1
229,933,-1
230,934,7
230,927,7
230,935,7
230,936,7
230,937,7
230,938,7
230,939,7
230,940,7
230,941,7
230,643,7
230,942,7
230,943,7
230,529,7
230,944,7
230,945,7
230,946,7
230,947,7
230,948,7
230,949,7
230,950,7
230,951,7
230,952,7
230,953,7
230,954,7
230,955,7
230,956,7
230,957,7
231,958,-1
231,959,-1
231,960,-1
231,961,-1
231,962,-1
231,963,-1
231,964,-1
231,965,-1
231,966,-1
231,967,-1
231,968,-1
231,969,-1
231,970,-1
231,971,-1
231,859,-1
231,972,-1
231,973,-1
231,974,-1
231,518,-1
231,975,-1
231,976,-1
231,977,-1
231,978,-1
231,979,-1
231,980,-1
231,981,-1
231,982,-1
231,983,-1
231,984,-1
231,985,-1
231,986,-1
231,987,-1
231,988,-1
231,519,-1
231,989,-1
231,990,-1
231,991,-1
231,992,-1
231,993,-1
231,994,-1
231,995,-1
231,996,-1
231,997,-1
231,998,-1
231,999,-1
231,1000,-1
231,1001,-1
231,1002,-1
231,1003,-1
231,1004,-1
231,1005,-1
231,1006,-1
231,1007,-1
231,1008,-1
231,1009,-1
231,1010,-1
231,1011,-1
231,1012,-1
231,1013,-1
231,1014,-1
231,1015,-1
231,1016,-1
231,1017,-1
231,1018,-1
231,1019,-1
231,1020,-1
231,1021,-1
231,1022,-1
231,1023,-1
231,1024,-1
231,1025,-1
231,1026,-1
231,1027,-1
231,1028,-1
231,1029,-1
231,1030,-1
231,1031,-1
231,1032,-1
231,1033,-1
231,1034,-1
231,1035,-1
231,1036,-1
